Produit;Paneliste;Appreciation_globale;Appreciation_texture
Obc;83;2;5
obm_;83;6;6
obmc_;83;8;5
obmc1;83;2;2
obm2;83;2;1
Ocb_;83;1;8
OCm;83;2;6
Om_;83;7;1
BCm;84;1;8
Bco_;84;3;9
Bmc_;84;8;2
Bo;84;6;0
Mb;84;2;5
MCb_;84;1;4
MCo;84;1;6
Moc_;84;7;0
Obc;84;6;5
obm_;84;7;6
obmc_;84;3;5
obmc1;84;6;2
obm2;84;1;5
Ocb_;84;4;6
OCm;84;2;5
Om_;84;5;1
BCm;85;4;6
Bco_;85;8;5
Bmc_;85;5;8
Bo;85;5;5
Mb;85;7;5
MCb_;85;7;1
MCo;85;10;6
Moc_;85;8;2
Obc;85;3;4
obm_;85;9;6
obmc_;85;8;2
obmc1;85;5;6
obm2;85;5;4
Ocb_;85;2;8
OCm;85;2;5
Om_;85;7;6
BCm;86;6;2
Bco_;86;7;1
Bmc_;86;9;4
Bo;86;8;5
Mb;86;8;6
MCb_;86;7;2
MCo;86;6;6
Moc_;86;7;2
Obc;86;4;1
obm_;86;8;5
obmc_;86;5;6
obmc1;86;8;3
obm2;86;9;5
Ocb_;86;5;3
OCm;86;5;5
Om_;86;8;4
BCm;87;6;8
Bco_;87;3;2
Bmc_;87;7;6
Bo;87;8;2
Mb;87;7;6
MCb_;87;3;3
MCo;87;2;1
Moc_;87;6;6
Obc;87;7;6
obm_;87;6;2
obmc_;87;5;1
obmc1;87;6;8
obm2;87;4;9
Ocb_;87;1;6
OCm;87;4;2
Om_;87;2;0
BCm;88;6;4
Bco_;88;8;6
Bmc_;88;8;6
Bo;88;7;4
Mb;88;7;5
MCb_;88;8;2
MCo;88;2;1
Moc_;88;10;2
Obc;88;2;6
obm_;88;6;5
obmc_;88;8;2
obmc1;88;6;4
obm2;88;4;1
Ocb_;88;2;2
OCm;88;1;6
Om_;88;5;5
BCm;89;3;2
Bco_;89;4;1
Bmc_;89;5;5
Bo;89;5;2
Mb;89;9;8
MCb_;89;3;2
MCo;89;3;1
Moc_;89;7;6
Obc;89;4;8
obm_;89;9;1
obmc_;89;7;2
obmc1;89;9;8
obm2;89;3;9
Ocb_;89;2;10
OCm;89;3;5
Om_;89;6;6
BCm;90;3;5
Bco_;90;4;2
Bmc_;90;9;1
Bo;90;5;8
Mb;90;7;6
MCb_;90;5;1
MCo;90;2;8
Moc_;90;4;9
Obc;90;4;2
obm_;90;2;0
obmc_;90;9;5
obmc1;90;7;4
obm2;90;2;6
Ocb_;90;1;0
OCm;90;1;5
Om_;90;7;6
BCm;91;1;5
Bco_;91;3;2
Bmc_;91;4;5
Bo;91;9;6
Mb;91;3;5
MCb_;91;4;1
MCo;91;4;6
Moc_;91;9;5
Obc;91;4;8
obm_;91;9;5
obmc_;91;8;5
obmc1;91;5;1
obm2;91;8;6
Ocb_;91;1;2
OCm;91;1;4
Om_;91;6;6
BCm;92;7;2
Bco_;92;5;6
Bmc_;92;7;4
Bo;92;9;8
Mb;92;8;5
MCb_;92;7;6
MCo;92;3;2
Moc_;92;4;1
Obc;92;4;4
obm_;92;4;5
obmc_;92;7;6
obmc1;92;7;2
obm2;92;5;6
Ocb_;92;2;2
OCm;92;1;1
Om_;92;7;5
BCm;93;3;6
Bco_;93;2;3
Bmc_;93;6;5
Bo;93;3;3
Mb;93;8;5
MCb_;93;8;4
MCo;93;8;8
Moc_;93;8;2
Obc;93;7;6
obm_;93;6;2
obmc_;93;7;6
obmc1;93;7;3
obm2;93;5;1
Ocb_;93;6;6
OCm;93;9;6
Om_;93;5;2
BCm;94;4;1
Bco_;94;8;8
Bmc_;94;10;9
Bo;94;8;6
Mb;94;8;2
MCb_;94;2;0
MCo;94;5;4
Moc_;94;5;6
Obc;94;4;6
obm_;94;9;4
obmc_;94;6;5
obmc1;94;4;2
obm2;94;4;1
Ocb_;94;8;2
OCm;94;7;6
Om_;94;2;5
BCm;95;4;2
Bco_;95;7;4
Bmc_;95;6;1
Bo;95;4;2
Mb;95;8;6
MCb_;95;7;5
MCo;95;7;2
Moc_;95;7;1
Obc;95;5;5
obm_;95;6;2
obmc_;95;6;6
obmc1;95;7;2
obm2;95;7;1
Ocb_;95;3;5
OCm;95;6;6
Om_;95;8;2
BCm;96;4;1
Bco_;96;3;2
Bmc_;96;5;8
Bo;96;5;8
Mb;96;5;2
MCb_;96;4;1
MCo;96;5;6
Moc_;96;5;8
Obc;96;5;1
obm_;96;5;2
obmc_;96;5;8
obmc1;96;5;9
obm2;96;5;10
Ocb_;96;3;5
OCm;96;4;6
Om_;96;5;5
BCm;97;4;2
Bco_;97;6;1
Bmc_;97;5;8
Bo;97;7;6
Mb;97;4;1
MCb_;97;2;8
MCo;97;2;9
Moc_;97;9;2
Obc;97;5;0
obm_;97;8;5
obmc_;97;4;4
obmc1;97;7;6
obm2;97;8;0
Ocb_;97;2;5
OCm;97;3;6
Om_;97;6;5
BCm;98;4;2
Bco_;98;8;5
Bmc_;98;7;6
Bo;98;4;5
Mb;98;8;1
MCb_;98;7;6
MCo;98;3;5
Moc_;98;6;8
Obc;98;5;5
obm_;98;5;5
obmc_;98;5;1
obmc1;98;6;6
obm2;98;3;2
Ocb_;98;2;4
OCm;98;2;6
Om_;98;5;2
BCm;99;4;6
Bco_;99;4;4
Bmc_;99;5;8
Bo;99;6;5
Mb;99;7;6
MCb_;99;6;2
MCo;99;2;1
Moc_;99;7;4
Obc;99;5;5
obm_;99;8;6
obmc_;99;6;2
obmc1;99;2;6
obm2;99;5;2
Ocb_;99;7;1
OCm;99;2;5
Om_;99;7;6
BCm;100;6;3
Bco_;100;4;5
Bmc_;100;4;3
Bo;100;3;5
Mb;100;5;4
MCb_;100;2;8
MCo;100;3;2
Moc_;100;5;6
Obc;100;6;2
obm_;100;4;6
obmc_;100;7;3
obmc1;100;5;1
obm2;100;7;6
Ocb_;100;2;6
OCm;100;5;2
Om_;100;3;1
